\addplot coordinates{
(-2.712444,10.962743)
(-2.698844,6.856397)
(-2.685244,6.682629)
(-2.671644,4.339812)
(-2.658044,3.602893)
(-2.644444,3.066721)
(-2.630844,2.755412)
(-2.617244,2.355434)
(-2.603644,1.966559)
(-2.590044,1.644779)
(-2.576444,1.415919)
(-2.562844,1.222813)
(-2.549244,1.072404)
(-2.535644,0.971842)
(-2.522044,0.852743)
(-2.508444,1.105827)
(-2.494844,1.137195)
(-2.481244,1.043875)
(-2.467644,0.987040)
(-2.454044,0.886199)
(-2.440444,0.805283)
(-2.426844,0.729114)
(-2.413244,0.664504)
(-2.399644,0.713820)
(-2.386044,0.827011)
(-2.372444,0.952309)
(-2.358844,1.152496)
(-2.345244,1.534743)
(-2.331644,1.691452)
(-2.318044,1.862566)
(-2.304444,1.873397)
(-2.290844,2.126026)
(-2.277244,1.752415)
(-2.263644,1.554548)
(-2.250044,1.420368)
(-2.236444,1.336735)
(-2.222844,1.270765)
(-2.209244,1.186735)
(-2.195644,1.113268)
(-2.182044,1.047496)
(-2.168444,0.987761)
(-2.154844,0.938206)
(-2.141244,0.900960)
(-2.127644,0.867375)
(-2.114044,0.838316)
(-2.100444,0.810871)
(-2.086844,0.783592)
(-2.073244,0.757088)
(-2.059644,0.732254)
(-2.046044,0.708945)
(-2.032444,0.687430)
(-2.018844,0.666875)
(-2.005244,0.648375)
(-1.991644,0.631471)
(-1.978044,0.615246)
(-1.964444,0.599647)
(-1.950844,0.584743)
(-1.937244,0.571096)
(-1.923644,0.558456)
(-1.910044,0.546199)
(-1.896444,0.533945)
(-1.882844,0.521511)
(-1.869244,0.509371)
(-1.855644,0.497603)
(-1.842044,0.486243)
(-1.828444,0.475562)
(-1.814844,0.465721)
(-1.801244,0.456871)
(-1.787644,0.448184)
(-1.774044,0.439669)
(-1.760444,0.431136)
(-1.746844,0.422651)
(-1.733244,0.414485)
(-1.719644,0.406563)
(-1.706044,0.398901)
(-1.692444,0.391713)
(-1.678844,0.384960)
(-1.665244,0.378324)
(-1.651644,0.371776)
(-1.638044,0.365250)
(-1.624444,0.358724)
(-1.610844,0.352077)
(-1.597244,0.345511)
(-1.583644,0.339140)
(-1.570044,0.333276)
(-1.556444,0.327699)
(-1.542844,0.322548)
(-1.529244,0.317607)
(-1.515644,0.312684)
(-1.502044,0.307772)
(-1.488444,0.302926)
(-1.474844,0.298158)
(-1.461244,0.293379)
(-1.447644,0.288537)
(-1.434044,0.283824)
(-1.420444,0.279195)
(-1.406844,0.274673)
(-1.393244,0.270305)
(-1.379644,0.266250)
(-1.366044,0.262320)
(-1.352444,0.258401)
(-1.338844,0.419357)
(-1.325244,0.838463)
(-1.311644,0.941342)
(-1.298044,0.972820)
(-1.284444,0.967335)
(-1.270844,0.902452)
(-1.257244,0.881224)
(-1.243644,0.863029)
(-1.230044,0.854070)
(-1.216444,0.854029)
(-1.202844,0.853518)
(-1.189244,0.852375)
(-1.175644,0.846846)
(-1.162044,0.845188)
(-1.148444,0.843250)
(-1.134844,0.836838)
(-1.121244,0.822930)
(-1.107644,0.812430)
(-1.094044,0.804765)
(-1.080444,0.799158)
(-1.066844,0.794779)
(-1.053244,0.791379)
(-1.039644,0.789081)
(-1.026044,0.786776)
(-1.012444,0.784243)
(-0.998844,0.781048)
(-0.985244,0.776680)
(-0.971644,0.773551)
(-0.958044,0.769794)
(-0.944444,0.765654)
(-0.930844,0.761695)
(-0.917244,0.755592)
(-0.903644,0.750268)
(-0.890044,0.745629)
(-0.876444,0.741107)
(-0.862844,0.737000)
(-0.849244,0.733438)
(-0.835644,0.730603)
(-0.822044,0.727456)
(-0.808444,0.723776)
(-0.794844,0.719820)
(-0.781244,0.729154)
(-0.767644,0.756202)
(-0.754044,0.794390)
