ikpt,labels,b0.up,b1.up,b2.up,b3.up,b4.up,b5.up,b6.up,b7.up,b8.up,b9.up,b10.up,b11.up,b12.up,b13.up,b14.up,b15.up,b16.up,b17.up,b18.up,b19.up,b20.up,b21.up,b22.up,b23.up,b0.dn,b1.dn,b2.dn,b3.dn,b4.dn,b5.dn,b6.dn,b7.dn,b8.dn,b9.dn,b10.dn,b11.dn,b12.dn,b13.dn,b14.dn,b15.dn,b16.dn,b17.dn,b18.dn,b19.dn,b20.dn,b21.dn,b22.dn,b23.dn
0,L,-7.111e+00,-3.645e+00,-3.222e+00,-3.222e+00,-2.764e+00,-2.764e+00,-2.519e+00,1.014e+00,1.014e+00,3.286e+00,4.328e+00,4.328e+00,6.984e+00,1.014e+01,1.014e+01,1.022e+01,1.045e+01,1.045e+01,1.133e+01,1.524e+01,1.765e+01,1.765e+01,1.833e+01,1.879e+01,-7.195e+00,-3.349e+00,-1.011e+00,-1.011e+00,8.284e-01,8.284e-01,8.539e-01,2.259e+00,2.259e+00,4.027e+00,5.052e+00,5.052e+00,7.464e+00,1.033e+01,1.033e+01,1.068e+01,1.092e+01,1.092e+01,1.149e+01,1.581e+01,1.810e+01,1.810e+01,1.902e+01,1.903e+01
1,,-7.161e+00,-3.627e+00,-3.219e+00,-3.219e+00,-2.770e+00,-2.770e+00,-2.421e+00,1.037e+00,1.037e+00,3.286e+00,4.350e+00,4.350e+00,6.955e+00,9.425e+00,9.425e+00,9.910e+00,1.123e+01,1.123e+01,1.168e+01,1.497e+01,1.688e+01,1.688e+01,1.829e+01,1.955e+01,-7.241e+00,-3.268e+00,-1.005e+00,-1.005e+00,8.126e-01,8.126e-01,8.881e-01,2.293e+00,2.293e+00,4.022e+00,5.062e+00,5.062e+00,7.411e+00,9.760e+00,9.760e+00,1.035e+01,1.156e+01,1.156e+01,1.187e+01,1.557e+01,1.731e+01,1.731e+01,1.901e+01,1.979e+01
2,,-7.295e+00,-3.583e+00,-3.214e+00,-3.214e+00,-2.789e+00,-2.789e+00,-2.136e+00,1.108e+00,1.108e+00,3.287e+00,4.408e+00,4.408e+00,6.856e+00,8.673e+00,8.673e+00,9.406e+00,1.219e+01,1.219e+01,1.227e+01,1.441e+01,1.579e+01,1.579e+01,1.791e+01,2.045e+01,-7.363e+00,-3.044e+00,-9.917e-01,-9.917e-01,7.742e-01,7.742e-01,9.906e-01,2.384e+00,2.384e+00,4.004e+00,5.084e+00,5.084e+00,7.243e+00,9.072e+00,9.072e+00,9.902e+00,1.245e+01,1.245e+01,1.247e+01,1.508e+01,1.626e+01,1.626e+01,1.861e+01,2.065e+01
3,,-7.479e+00,-3.526e+00,-3.208e+00,-3.208e+00,-2.812e+00,-2.812e+00,-1.689e+00,1.221e+00,1.221e+00,3.288e+00,4.476e+00,4.476e+00,6.656e+00,8.045e+00,8.045e+00,8.968e+00,1.255e+01,1.305e+01,1.305e+01,1.407e+01,1.488e+01,1.488e+01,1.722e+01,2.082e+01,-7.531e+00,-2.713e+00,-9.732e-01,-9.732e-01,7.334e-01,7.334e-01,1.161e+00,2.512e+00,2.512e+00,3.974e+00,5.097e+00,5.097e+00,6.948e+00,8.507e+00,8.507e+00,9.568e+00,1.282e+01,1.323e+01,1.323e+01,1.477e+01,1.542e+01,1.542e+01,1.783e+01,2.099e+01
4,,-7.678e+00,-3.465e+00,-3.207e+00,-3.207e+00,-2.833e+00,-2.833e+00,-1.115e+00,1.372e+00,1.372e+00,3.286e+00,4.505e+00,4.505e+00,6.319e+00,7.600e+00,7.600e+00,8.671e+00,1.213e+01,1.304e+01,1.304e+01,1.434e+01,1.495e+01,1.495e+01,1.662e+01,2.085e+01,-7.713e+00,-2.322e+00,-9.551e-01,-9.551e-01,7.080e-01,7.080e-01,1.400e+00,2.655e+00,2.655e+00,3.929e+00,5.063e+00,5.063e+00,6.536e+00,8.127e+00,8.127e+00,9.374e+00,1.261e+01,1.330e+01,1.330e+01,1.498e+01,1.542e+01,1.542e+01,1.707e+01,2.103e+01
5,,-7.866e+00,-3.403e+00,-3.215e+00,-3.215e+00,-2.845e+00,-2.845e+00,-4.486e-01,1.556e+00,1.556e+00,3.281e+00,4.433e+00,4.433e+00,5.837e+00,7.405e+00,7.405e+00,8.531e+00,1.145e+01,1.221e+01,1.221e+01,1.452e+01,1.593e+01,1.593e+01,1.654e+01,2.077e+01,-7.886e+00,-1.914e+00,-9.419e-01,-9.419e-01,7.073e-01,7.073e-01,1.704e+00,2.800e+00,2.800e+00,3.870e+00,4.943e+00,4.943e+00,6.040e+00,7.985e+00,7.985e+00,9.301e+00,1.209e+01,1.259e+01,1.259e+01,1.515e+01,1.630e+01,1.630e+01,1.683e+01,2.098e+01
6,,-8.026e+00,-3.347e+00,-3.229e+00,-3.229e+00,-2.847e+00,-2.847e+00,2.824e-01,1.764e+00,1.764e+00,3.270e+00,4.237e+00,4.237e+00,5.237e+00,7.487e+00,7.487e+00,8.527e+00,1.079e+01,1.130e+01,1.130e+01,1.427e+01,1.709e+01,1.709e+01,1.714e+01,2.067e+01,-8.034e+00,-1.531e+00,-9.353e-01,-9.353e-01,7.299e-01,7.299e-01,2.073e+00,2.941e+00,2.941e+00,3.800e+00,4.738e+00,4.738e+00,5.499e+00,8.090e+00,8.090e+00,9.322e+00,1.154e+01,1.175e+01,1.175e+01,1.479e+01,1.740e+01,1.741e+01,1.741e+01,2.091e+01
7,,-8.146e+00,-3.301e+00,-3.245e+00,-3.245e+00,-2.843e+00,-2.843e+00,1.047e+00,1.980e+00,1.980e+00,3.248e+00,3.972e+00,3.972e+00,4.567e+00,7.805e+00,7.805e+00,8.630e+00,1.021e+01,1.044e+01,1.044e+01,1.393e+01,1.803e+01,1.826e+01,1.826e+01,2.057e+01,-8.145e+00,-1.217e+00,-9.340e-01,-9.340e-01,7.648e-01,7.648e-01,2.493e+00,3.071e+00,3.071e+00,3.724e+00,4.501e+00,4.501e+00,4.952e+00,8.401e+00,8.401e+00,9.412e+00,1.093e+01,1.093e+01,1.106e+01,1.435e+01,1.829e+01,1.854e+01,1.854e+01,2.084e+01
8,,-8.220e+00,-3.272e+00,-3.257e+00,-3.257e+00,-2.838e+00,-2.838e+00,1.793e+00,2.165e+00,2.165e+00,3.183e+00,3.732e+00,3.732e+00,3.925e+00,8.296e+00,8.296e+00,8.807e+00,9.635e+00,9.635e+00,9.746e+00,1.370e+01,1.900e+01,1.928e+01,1.928e+01,2.045e+01,-8.214e+00,-1.009e+00,-9.351e-01,-9.351e-01,7.957e-01,7.957e-01,2.934e+00,3.178e+00,3.178e+00,3.638e+00,4.303e+00,4.303e+00,4.461e+00,8.865e+00,8.865e+00,9.537e+00,1.017e+01,1.017e+01,1.070e+01,1.406e+01,1.925e+01,1.951e+01,1.951e+01,2.080e+01
9,Gamma,-8.245e+00,-3.261e+00,-3.261e+00,-3.261e+00,-2.835e+00,-2.835e+00,2.246e+00,2.246e+00,2.246e+00,3.037e+00,3.631e+00,3.631e+00,3.631e+00,8.894e+00,8.894e+00,8.937e+00,8.937e+00,8.937e+00,9.522e+00,1.361e+01,1.976e+01,1.976e+01,1.976e+01,2.035e+01,-8.237e+00,-9.358e-01,-9.358e-01,-9.358e-01,8.080e-01,8.080e-01,3.222e+00,3.222e+00,3.222e+00,3.540e+00,4.224e+00,4.224e+00,4.224e+00,9.333e+00,9.333e+00,9.607e+00,9.607e+00,9.607e+00,1.055e+01,1.395e+01,1.992e+01,1.992e+01,1.992e+01,2.079e+01
